Sample in Buffer,Sample in Window,TRIGGER,zsys_i/system_ila_0/U0/probe0_1[15:0],user_probe_0[15:0],zsys_i/system_ila_0/U0/probe1_1[15:0],zsys_i/system_ila_0/U0/probe2_1,zsys_i/system_ila_0/U0/probe3_1[15:0],zsys_i/system_ila_0/U0/probe4_1[15:0],zsys_i/system_ila_0/U0/probe5_1,GL0,zsys_i/system_ila_0/U0/probe6_1[2:0],GL1,GL2,zsys_i/system_ila_0/U0/probe7_1,Monitor1[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tdata[63:0],Monitor2[15:0],Monitor3[15:0],Monitor4[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_0_axis_tready,zsys_i/system_ila_0/U0/net_slot_0_axis_tlast,zsys_i/system_ila_0/U0/net_slot_1_axis_tdata[63:0],zsys_i/system_ila_0/U0/net_slot_1_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_1_axis_tready,zsys_i/system_ila_0/U0/net_slot_1_axis_tlast,zsys_i/system_ila_0/U0/net_slot_2_axis_tdata[31:0],zsys_i/system_ila_0/U0/net_slot_2_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_2_axis_tready,zsys_i/system_ila_0/U0/net_slot_2_axis_tlast,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_start_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_done_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_idle_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_ready_1,T_Channel_(i1:s0)_(axis_monitor_0_m_axis)[2:0],T_Channel_(i1:s1)_(axis_AD7403_0_m_axis)[2:0],T_Channel_(i1:s2)_()[2:0]
10024,10024,0,ffff,fffa,fffa,0,0005,ffe8,1,1,7,1,1,0,fffe,012100000006fffe,0006,0000,0121,0,1,0,7fff7fff001400fe,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10025,10025,0,0000,fff8,fff8,0,0008,fffc,1,1,7,1,1,0,fffc,012100000008fffc,0008,0000,0121,0,1,0,7fff7ffffffc00e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10026,10026,0,0009,000a,000a,0,0016,001e,1,1,7,1,1,0,fffd,01210000fff6fffd,fff6,0000,0121,0,1,0,7fff7fff002e00ee,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10027,10027,0,0003,fffd,fffd,0,0009,0009,1,0,0,0,0,0,fffc,012100000003fffc,0003,0000,0121,0,1,0,7fff7fff002200f0,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10028,10028,0,ffff,fff9,fff9,0,fff0,ffef,1,0,0,0,0,0,fffd,012100000007fffd,0007,0000,0121,0,1,0,7fff7fff001a00f2,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10029,10029,0,0005,fffb,fffb,0,0011,0004,1,1,7,1,1,0,fff9,012100000005fff9,0005,0000,0121,0,1,0,7fff7fff001600fe,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10030,10030,0,fff3,fff4,fff4,0,ffee,0008,1,1,7,1,1,0,0006,01210000000b0006,000b,0000,0121,0,1,0,7fff7fff001000fa,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10031,10031,0,0005,0001,0001,0,ffe3,ffe8,1,1,7,1,1,0,fffc,01210000fffffffc,ffff,0000,0121,0,1,0,7fff7fff001a0118,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10032,10032,0,fffb,fff7,fff7,0,000a,fff4,1,0,0,0,0,0,0000,0121000000090000,0009,0000,0121,0,1,0,7fff7fff000a00dc,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10033,10033,0,000d,0003,0003,0,fffe,fffd,1,0,0,0,0,0,fff6,01210000fffefff6,fffe,0000,0121,0,1,0,7fff7ffffff200ee,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10034,10034,0,0005,0003,0003,0,0000,fffa,1,1,7,1,1,0,fffd,01210000fffdfffd,fffd,0000,0121,0,1,0,7fff7fff002800fe,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10035,10035,0,fff6,fff2,fff2,0,fff0,000d,1,1,7,1,1,0,0002,01210000000d0002,000d,0000,0121,0,1,0,7fff7fff002400e4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10036,10036,0,ffff,fffb,fffb,0,fff6,fff2,1,1,7,1,1,0,fffe,012100000005fffe,0005,0000,0121,0,1,0,7fff7fff000800f8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10037,10037,0,0005,ffff,ffff,0,0013,fff6,1,0,0,0,0,0,fffb,012100000001fffb,0001,0000,0121,0,1,0,7fff7fff000c00cc,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10038,10038,0,0008,0002,0002,0,fff2,0009,1,0,0,0,0,0,fffa,01210000fffefffa,fffe,0000,0121,0,1,0,7fff7fff000c00f6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10039,10039,0,0000,ffff,ffff,0,0018,000f,1,1,7,1,1,0,ffff,012100000001ffff,0001,0000,0121,0,1,0,7fff7fff000800d8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10040,10040,0,fff7,fff2,fff2,0,fff7,000c,1,1,7,1,1,0,0001,01210000000e0001,000e,0000,0121,0,1,0,7fff7fff00300100,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10041,10041,0,fff8,fff0,fff0,0,ffe4,ffe7,1,1,7,1,1,0,ffff,012100000010ffff,0010,0000,0121,0,1,0,7fff7ffffff000c6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10042,10042,0,ffff,0001,0001,0,0014,0007,1,0,0,0,0,0,0001,01210000ffff0001,ffff,0000,0121,0,1,0,7fff7fff002000ee,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10043,10043,0,fffb,fffd,fffd,0,ffed,000b,1,0,0,0,0,0,0003,0121000000020003,0002,0000,0121,0,1,0,7fff7fff001800e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10044,10044,0,0004,0001,0001,0,000e,fff3,1,1,7,1,1,0,fffd,01210000fffffffd,ffff,0000,0121,0,1,0,7fff7fff000800f0,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10045,10045,0,0002,fffd,fffd,0,0016,000c,1,1,7,1,1,0,fffd,012100000003fffd,0003,0000,0121,0,1,0,7fff7fff001c00e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10046,10046,0,0002,0000,0000,0,ffed,ffef,1,1,7,1,1,0,fffe,012100000000fffe,0000,0000,0121,0,1,0,7fff7fff001600e6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10047,10047,0,0000,fffb,fffb,0,0011,fff2,1,0,0,0,0,0,fffd,012100000005fffd,0005,0000,0121,0,1,0,7fff7fff001800e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10048,10048,0,0003,fffe,fffe,0,0002,000f,1,0,0,0,0,0,fffc,012100000002fffc,0002,0000,0121,0,1,0,7fff7fff000600de,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10049,10049,0,0001,fff6,fff6,0,0011,ffef,1,1,7,1,1,0,fffa,01210000000afffa,000a,0000,0121,0,1,0,7fff7fff002a00f4,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
